,Movie,Genre,Year,Length (Minutes),Rating,Metascore,votes,Gross(Millions)
76,The Breakfast Club,"Comedy, Drama",1985,97,7.8,66.0,400935,45.88
77,The Departed,"Crime, Drama, Thriller",2006,151,8.5,85.0,1323696,
78,No Country for Old Men,"Crime, Drama, Thriller",2007,122,8.2,92.0,973072,
79,Pan's Labyrinth,"Drama, Fantasy, War",2006,118,8.2,98.0,670304,
80,Back to the Future,"Adventure, Comedy, Sci-Fi",1985,116,8.5,87.0,1203364,
81,The Silence of the Lambs,"Crime, Drama, Thriller",1991,118,8.6,85.0,1430505,
82,The Godfather Part II,"Crime, Drama",1974,202,9.0,90.0,1268739,
83,Mulholland Drive,"Drama, Mystery, Thriller",2001,147,7.9,85.0,357817,7.22
84,The Grand Budapest Hotel,"Adventure, Comedy, Crime",2014,99,8.1,88.0,809708,
85,Call Me by Your Name,"Drama, Romance",2017,132,7.8,94.0,275138,18.1
86,Logan,"Action, Drama, Sci-Fi",2017,137,8.1,77.0,763374,
87,The Handmaiden,"Drama, Romance, Thriller",2016,145,8.1,84.0,148843,
88,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",2005,157,7.7,81.0,627545,290.01
89,Heat,"Action, Crime, Drama",1995,170,8.3,76.0,655376,
90,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy",1977,121,8.6,90.0,1363262,
91,The Prestige,"Drama, Mystery, Sci-Fi",2006,130,8.5,66.0,1331340,
92,Apocalypse Now,"Drama, Mystery, War",1979,147,8.5,94.0,667925,
93,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",2003,201,9.0,94.0,1842539,
94,Kill Bill: Vol. 1,"Action, Crime, Drama",2003,111,8.2,69.0,1115375,
95,Ferris Bueller's Day Off,Comedy,1986,103,7.8,61.0,360745,70.14
96,The Hateful Eight,"Crime, Drama, Mystery",2015,168,7.8,68.0,602090,54.12
97,Terminator 2: Judgment Day,"Action, Sci-Fi",1991,137,8.6,75.0,1098190,
98,Kick-Ass,"Action, Comedy, Crime",2010,117,7.6,66.0,565053,48.07
99,Léon: The Professional,"Action, Crime, Drama",1994,110,8.5,64.0,1159710,
100,Indiana Jones and the Last Crusade,"Action, Adventure",1989,127,8.2,65.0,755461,
101,Boogie Nights,Drama,1997,155,7.9,85.0,267560,26.4
102,The Matrix,"Action, Sci-Fi",1999,136,8.7,73.0,1909660,
103,Jurassic Park,"Action, Adventure, Sci-Fi",1993,127,8.2,68.0,988011,
104,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",2004,108,8.3,89.0,1007613,
105,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",2004,142,7.9,82.0,635316,249.36
106,The Shining,"Drama, Horror",1980,146,8.4,66.0,1021809,
107,Catch Me If You Can,"Biography, Crime, Drama",2002,141,8.1,75.0,981976,
108,Reservoir Dogs,"Crime, Thriller",1992,99,8.3,79.0,1017848,
109,Blade Runner,"Action, Drama, Sci-Fi",1982,117,8.1,84.0,770611,
110,A Clockwork Orange,"Crime, Sci-Fi",1971,136,8.3,77.0,830630,
111,Pride & Prejudice,"Drama, Romance",2005,129,7.8,82.0,298465,38.41
112,About Time,"Comedy, Drama, Fantasy",2013,123,7.8,55.0,352691,15.32
113,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",2011,130,8.1,85.0,874912,
114,The Terminator,"Action, Sci-Fi",1984,107,8.1,84.0,865653,
115,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",2017,115,8.1,88.0,507838,
116,Iron Man,"Action, Adventure, Sci-Fi",2008,126,7.9,79.0,1058922,318.41
117,12 Angry Men,"Crime, Drama",1957,96,9.0,96.0,789774,
118,Avengers: Infinity War,"Action, Adventure, Sci-Fi",2018,149,8.4,68.0,1077694,
119,Oldboy,"Action, Drama, Mystery",2003,120,8.4,77.0,580069,
120,The Worst Person in the World,"Comedy, Drama, Romance",2021,128,7.8,90.0,68048,
121,Sita Ramam,"Action, Drama, Mystery",2022,163,8.6,,50356,
122,Snatch,"Comedy, Crime",2000,102,8.2,55.0,856694,
123,Zack Snyder's Justice League,"Action, Adventure, Fantasy",2021,242,8.0,54.0,398259,
124,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",2015,120,8.1,90.0,1002192,
125,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",2003,143,8.1,63.0,1127076,
126,Wind River,"Crime, Drama, Mystery",2017,107,7.7,73.0,253711,33.8
127,The Dark Knight Rises,"Action, Drama",2012,164,8.4,78.0,1702342,
128,Saving Private Ryan,"Drama, War",1998,169,8.6,91.0,1389487,
129,The Usual Suspects,"Crime, Drama, Mystery",1995,106,8.5,77.0,1084871,
130,La La Land,"Comedy, Drama, Music",2016,128,8.0,94.0,588555,151.1
131,Superbad,Comedy,2007,113,7.6,76.0,582846,121.46
132,1917,"Action, Drama, War",2019,119,8.2,78.0,588398,
133,The Irishman,"Biography, Crime, Drama",2019,209,7.8,94.0,389190,7.0
134,Almost Famous,"Adventure, Comedy, Drama",2000,122,7.9,90.0,278012,32.53
135,The Wizard of Oz,"Adventure, Family, Fantasy",1939,102,8.1,92.0,401458,
136,The Notebook,"Drama, Romance",2004,123,7.8,53.0,574752,81.0
137,Singin' in the Rain,"Comedy, Musical, Romance",1952,103,8.3,99.0,243617,
138,Once Upon a Time in the West,Western,1968,165,8.5,80.0,330456,
139,2001: A Space Odyssey,"Adventure, Sci-Fi",1968,149,8.3,84.0,669712,
140,Dunkirk,"Action, Drama, History",2017,106,7.8,94.0,659460,188.37
141,Drive,"Action, Drama",2011,100,7.8,78.0,642102,35.06
142,Scarface,"Crime, Drama",1983,170,8.3,65.0,841276,
143,Apocalypto,"Action, Adventure, Drama",2006,139,7.8,68.0,314879,50.87
144,300,"Action, Drama",2006,117,7.6,52.0,822160,210.61
145,Batman Begins,"Action, Crime, Drama",2005,140,8.2,70.0,1469254,
146,Ocean's Eleven,"Crime, Thriller",2001,116,7.7,74.0,576796,183.42
147,Memento,"Mystery, Thriller",2000,113,8.4,81.0,1237311,
148,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",2017,136,7.6,67.0,682256,389.81
149,City of God,"Crime, Drama",2002,130,8.6,79.0,756953,
150,Primal Fear,"Crime, Drama, Mystery",1996,129,7.7,47.0,220701,56.12
151,Deadpool,"Action, Adventure, Comedy",2016,108,8.0,65.0,1037611,363.07
152,"The Good, the Bad and the Ugly","Adventure, Western",1966,178,8.8,90.0,761510,
153,The Fifth Element,"Action, Adventure, Sci-Fi",1997,126,7.6,52.0,475930,63.54
154,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",2002,179,8.8,87.0,1663750,
155,CODA,"Comedy, Drama, Music",2021,111,8.0,72.0,132780,
156,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",2010,146,7.7,65.0,549989,295.98
157,Deadpool 2,"Action, Adventure, Comedy",2018,119,7.7,66.0,583300,324.59
158,Sicario,"Action, Crime, Drama",2015,121,7.6,82.0,431445,46.89
159,Spirited Away,"Animation, Adventure, Family",2001,125,8.6,96.0,762670,
160,Hacksaw Ridge,"Biography, Drama, History",2016,139,8.1,71.0,526434,
161,One Flew Over the Cuckoo's Nest,Drama,1975,133,8.7,84.0,1007428,
162,Come and See,"Drama, Thriller, War",1985,142,8.4,,80933,
163,Another Round,"Comedy, Drama",2020,117,7.7,79.0,160287,
164,The Big Lebowski,"Comedy, Crime",1998,117,8.1,71.0,809518,
165,Amadeus,"Biography, Drama, Music",1984,160,8.4,88.0,402182,
166,Kingsman: The Secret Service,"Action, Adventure, Comedy",2014,129,7.7,60.0,669053,128.26
167,Donnie Darko,"Drama, Mystery, Sci-Fi",2001,113,8.0,88.0,802955,1.48
168,The Hangover,Comedy,2009,100,7.7,73.0,787130,277.32
169,Ghostbusters,"Action, Comedy, Fantasy",1984,105,7.8,71.0,417379,238.63
170,The Hobbit: An Unexpected Journey,"Adventure, Fantasy",2012,169,7.8,58.0,829636,303.0
171,The Exorcist,Horror,1973,122,8.1,81.0,409924,
172,The Magnificent Seven,"Action, Adventure, Western",1960,128,7.7,74.0,95971,4.91
173,Life Is Beautiful,"Comedy, Drama, Romance",1997,116,8.6,59.0,694908,
174,Taken,"Action, Crime, Thriller",2008,90,7.8,51.0,604926,145.0
175,Ford v Ferrari,"Action, Biography, Drama",2019,152,8.1,81.0,394401,
176,Green Book,"Biography, Comedy, Drama",2018,130,8.2,69.0,491845,
177,American History X,"Crime, Drama",1998,119,8.5,62.0,1121955,
178,The Truman Show,"Comedy, Drama",1998,103,8.2,90.0,1080504,
179,Airplane!,Comedy,1980,88,7.7,78.0,241517,83.4
180,Her,"Drama, Romance, Sci-Fi",2013,126,8.0,91.0,614639,25.57
181,Once Upon a Time in America,"Crime, Drama",1984,229,8.3,75.0,353073,
182,Star Trek,"Action, Adventure, Sci-Fi",2009,127,7.9,82.0,605017,257.73
183,There Will Be Blood,Drama,2007,158,8.2,93.0,587756,
184,Lost in Translation,"Comedy, Drama",2003,102,7.7,91.0,457017,44.59
185,The Hunt,Drama,2012,115,8.3,77.0,331380,
186,The Sound of Music,"Biography, Drama, Family",1965,172,8.1,63.0,236238,
187,The Avengers,"Action, Adventure, Sci-Fi",2012,143,8.0,69.0,1390403,623.28
188,Watchmen,"Action, Drama, Mystery",2009,162,7.6,56.0,553814,107.51
189,The Verdict,Drama,1982,129,7.7,77.0,41259,54.0
190,Thirteen Lives,"Action, Adventure, Biography",2022,147,7.8,66.0,51721,
191,Mystic River,"Crime, Drama, Mystery",2003,138,7.9,84.0,458614,90.14
192,Full Metal Jacket,"Drama, War",1987,116,8.3,76.0,743519,
193,Braveheart,"Biography, Drama, History",1995,178,8.4,68.0,1037789,
194,A Star Is Born,"Drama, Music, Romance",2018,136,7.6,88.0,385503,215.29
195,The Revenant,"Action, Adventure, Drama",2015,156,8.0,76.0,804880,183.64
196,Arrival,"Drama, Mystery, Sci-Fi",2016,116,7.9,81.0,695926,100.55
197,The Social Network,"Biography, Drama",2010,120,7.8,95.0,704541,96.96
198,Ex Machina,"Drama, Sci-Fi, Thriller",2014,108,7.7,78.0,546996,25.44
199,Stardust,"Adventure, Family, Fantasy",2007,127,7.6,66.0,274106,38.63
200,Unforgiven,"Drama, Western",1992,130,8.2,85.0,413410,
201,The Thing,"Horror, Mystery, Sci-Fi",1982,109,8.2,57.0,426874,
202,Jojo Rabbit,"Comedy, Drama, War",2019,108,7.9,58.0,390352,33.37
203,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",2015,138,7.8,80.0,931203,936.66
204,Atonement,"Drama, Mystery, Romance",2007,123,7.8,85.0,280446,50.93
205,Casablanca,"Drama, Romance, War",1942,102,8.5,100.0,572423,
206,The Lion King,"Animation, Adventure, Drama",1994,88,8.5,88.0,1056913,
207,Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018,147,7.7,86.0,334100,220.16
208,The Shop Around the Corner,"Comedy, Drama, Romance",1940,99,8.0,96.0,34251,0.2
209,Casino,"Crime, Drama",1995,178,8.2,73.0,521420,
210,Nightcrawler,"Crime, Drama, Thriller",2014,117,7.8,76.0,549099,32.38
211,Blue Is the Warmest Colour,"Drama, Romance",2013,180,7.7,90.0,153758,2.2
212,The Pianist,"Biography, Drama, Music",2002,150,8.5,85.0,831560,
213,Office Space,Comedy,1999,89,7.7,68.0,269193,10.82
214,A Beautiful Mind,"Biography, Drama",2001,135,8.2,72.0,933012,
215,E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi",1982,115,7.9,91.0,411404,435.11
216,Hamilton,"Biography, Drama, History",2020,160,8.4,89.0,95210,
217,The Sixth Sense,"Drama, Mystery, Thriller",1999,107,8.2,64.0,992303,
218,Shrek,"Animation, Adventure, Comedy",2001,90,7.9,84.0,678410,267.67
219,The Intouchables,"Biography, Comedy, Drama",2011,112,8.5,57.0,857695,
220,Ratatouille,"Animation, Adventure, Comedy",2007,111,8.1,96.0,737273,
221,The Father,"Drama, Mystery",2020,97,8.2,88.0,154155,
222,First Blood,"Action, Adventure, Thriller",1982,93,7.7,61.0,254990,47.21
223,The Incredibles,"Animation, Action, Adventure",2004,115,8.0,90.0,738266,
224,Dead Poets Society,"Comedy, Drama",1989,128,8.1,79.0,492255,
225,Fargo,"Crime, Thriller",1996,98,8.1,85.0,679200,
226,Thor: Ragnarok,"Action, Adventure, Comedy",2017,130,7.9,74.0,752307,315.06
227,Bohemian Rhapsody,"Biography, Drama, Music",2018,134,7.9,49.0,539380,216.43
228,Coco,"Animation, Adventure, Comedy",2017,105,8.4,81.0,507693,
229,Skyfall,"Action, Adventure, Thriller",2012,143,7.8,81.0,698437,304.36
230,True Romance,"Crime, Drama, Romance",1993,119,7.9,59.0,228554,12.28
231,Sin City,"Crime, Thriller",2005,124,8.0,74.0,770865,74.1
232,The Perks of Being a Wallflower,Drama,2012,103,7.9,67.0,513883,17.74
233,Man on Fire,"Action, Crime, Drama",2004,146,7.7,47.0,365614,77.91
234,Rocky,"Drama, Sport",1976,120,8.1,70.0,577183,
235,The Martian,"Adventure, Drama, Sci-Fi",2015,144,8.0,80.0,854644,228.43
236,Hachi: A Dog's Tale,"Biography, Drama, Family",2009,93,8.1,,286456,
237,Blue Velvet,"Crime, Drama, Mystery",1986,120,7.7,76.0,201204,8.55
238,Gone Baby Gone,"Crime, Drama, Mystery",2007,114,7.6,72.0,274191,20.3
239,Kill Bill: Vol. 2,"Action, Crime, Thriller",2004,137,8.0,83.0,757864,66.21
240,My Cousin Vinny,"Comedy, Crime",1992,120,7.6,68.0,126715,52.93
241,Toy Story,"Animation, Adventure, Comedy",1995,81,8.3,95.0,993292,
242,Zodiac,"Crime, Drama, Mystery",2007,157,7.7,78.0,543684,33.08
243,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",1983,131,8.3,58.0,1053368,
244,Zootopia,"Animation, Adventure, Comedy",2016,108,8.0,78.0,500331,341.27
245,500 Days of Summer,"Comedy, Drama, Romance",2009,95,7.7,76.0,518135,32.39
246,Hell or High Water,"Crime, Drama, Thriller",2016,102,7.6,88.0,232867,26.86
247,The Help,Drama,2011,146,8.1,62.0,460622,
248,The Big Sleep,"Crime, Film-Noir, Mystery",1946,114,7.9,86.0,86529,6.54
249,V for Vendetta,"Action, Drama, Sci-Fi",2005,132,8.2,62.0,1122498,
250,Manchester by the Sea,Drama,2016,137,7.8,96.0,284248,47.7
251,L.A. Confidential,"Crime, Drama, Mystery",1997,138,8.2,91.0,584231,
252,Training Day,"Action, Crime, Drama",2001,122,7.7,69.0,438853,76.63
253,The Imitation Game,"Biography, Drama, Thriller",2014,114,8.0,71.0,770518,91.13
254,The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",2008,166,7.8,70.0,652689,127.51
255,Spotlight,"Biography, Crime, Drama",2015,129,8.1,93.0,471051,
256,The Game,"Drama, Mystery, Thriller",1997,129,7.7,61.0,398785,48.32
257,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",2011,158,7.8,71.0,465342,102.52
258,Moneyball,"Biography, Drama, Sport",2011,133,7.6,87.0,425801,75.61
259,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",2014,136,7.8,70.0,846412,259.77
260,Jaws,"Adventure, Thriller",1975,124,8.1,87.0,607608,
261,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",1980,124,8.7,82.0,1290684,
262,Memories of Murder,"Crime, Drama, Mystery",2003,132,8.1,82.0,185682,
263,Trainspotting,Drama,1996,93,8.1,83.0,688370,
264,12 Years a Slave,"Biography, Drama, History",2013,134,8.1,96.0,701959,
265,Die Hard with a Vengeance,"Action, Adventure, Thriller",1995,128,7.6,58.0,389439,100.01
266,Coraline,"Animation, Drama, Family",2009,100,7.7,80.0,232622,75.29
267,Silver Linings Playbook,"Comedy, Drama, Romance",2012,122,7.7,81.0,711232,132.09
268,When Harry Met Sally...,"Comedy, Drama, Romance",1989,95,7.7,76.0,222846,92.82
269,Brokeback Mountain,"Drama, Romance",2005,134,7.7,87.0,359165,83.04
270,Dances with Wolves,"Adventure, Drama, Western",1990,181,8.0,72.0,267025,184.21
271,Psycho,"Horror, Mystery, Thriller",1960,109,8.5,97.0,672398,
272,Lethal Weapon,"Action, Crime, Thriller",1987,109,7.6,68.0,260824,65.21
273,Inside Out,"Animation, Adventure, Comedy",2015,95,8.2,94.0,713764,
274,The Count of Monte Cristo,"Action, Adventure, Drama",2002,131,7.7,61.0,139411,54.23
275,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",2013,161,7.8,66.0,665581,258.37
276,Inside Man,"Crime, Drama, Mystery",2006,129,7.6,76.0,375356,88.51
277,Predator,"Action, Adventure, Horror",1987,107,7.8,47.0,425421,59.74
278,Into the Wild,"Adventure, Biography, Drama",2007,148,8.1,73.0,624470,
279,Moana,"Animation, Adventure, Comedy",2016,107,7.6,81.0,337556,248.76
280,X-Men: First Class,"Action, Adventure, Sci-Fi",2011,131,7.7,65.0,694652,146.41
281,Gone with the Wind,"Drama, Romance, War",1939,238,8.2,97.0,316800,
282,Little Miss Sunshine,"Comedy, Drama",2006,101,7.8,80.0,483453,59.89
283,The Machinist,"Drama, Thriller",2004,101,7.7,61.0,392585,1.08
284,Your Name.,"Animation, Drama, Fantasy",2016,106,8.4,79.0,269258,
285,"O Brother, Where Art Thou?","Adventure, Comedy, Crime",2000,107,7.7,69.0,313993,45.51
286,Amélie,"Comedy, Romance",2001,122,8.3,69.0,757590,
287,3 Idiots,"Comedy, Drama",2009,170,8.4,67.0,401276,
288,3:10 to Yuma,"Action, Crime, Drama",2007,122,7.7,76.0,313954,53.61
289,Y tu mamá también,Drama,2001,106,7.7,88.0,124013,13.62
290,Room,"Drama, Thriller",2015,118,8.1,86.0,421982,
291,As Good as It Gets,"Comedy, Drama, Romance",1997,139,7.7,67.0,300778,148.48
292,Howl's Moving Castle,"Animation, Adventure, Family",2004,119,8.2,80.0,396385,
293,Black Hawk Down,"Action, Drama, History",2001,144,7.7,74.0,398730,108.64
294,Lawrence of Arabia,"Adventure, Biography, Drama",1962,218,8.3,100.0,295007,
295,Marriage Story,"Drama, Romance",2019,137,7.9,94.0,310720,2.0
296,The Lives of Others,"Drama, Mystery, Thriller",2006,137,8.4,89.0,390624,
297,"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",1998,107,8.2,66.0,583489,
298,Groundhog Day,"Comedy, Drama, Fantasy",1993,101,8.1,72.0,632639,
299,Portrait of a Lady on Fire,"Drama, Romance",2019,122,8.1,95.0,92899,3.76
300,RoboCop,"Action, Crime, Sci-Fi",1987,102,7.6,70.0,261033,53.42
301,The Deer Hunter,"Drama, War",1978,183,8.1,86.0,340714,
302,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",2005,140,7.6,68.0,792831,380.26
303,Hidden Figures,"Biography, Drama, History",2016,127,7.8,74.0,231587,169.61
304,The Butterfly Effect,"Drama, Sci-Fi, Thriller",2004,113,7.6,30.0,491770,57.94
305,Blazing Saddles,"Comedy, Western",1974,93,7.7,73.0,141118,119.5
306,Mr. Nobody,"Drama, Fantasy, Romance",2009,141,7.8,63.0,234975,0.0
307,The Sting,"Comedy, Crime, Drama",1973,129,8.3,83.0,263484,
308,The Boy in the Striped Pajamas,"Drama, War",2008,94,7.7,55.0,221120,9.03
309,WALL·E,"Animation, Adventure, Family",2008,98,8.4,95.0,1115015,
310,The Invisible Guest,"Crime, Drama, Mystery",2016,106,8.0,,177105,
311,Fantastic Mr. Fox,"Animation, Adventure, Comedy",2009,87,7.9,83.0,234343,21.0
312,Cast Away,"Adventure, Drama, Romance",2000,143,7.8,73.0,593880,233.63
313,The Blues Brothers,"Action, Adventure, Comedy",1980,133,7.9,60.0,201303,57.23
314,Before Sunrise,"Drama, Romance",1995,101,8.1,77.0,309682,
315,12 Monkeys,"Mystery, Sci-Fi, Thriller",1995,129,8.0,74.0,619725,57.14
316,Warrior,"Action, Drama, Sport",2011,140,8.2,71.0,473818,
317,Barry Lyndon,"Adventure, Drama, War",1975,185,8.1,89.0,169380,
318,Up,"Animation, Adventure, Comedy",2009,96,8.3,88.0,1043414,
319,Crash,"Crime, Drama, Thriller",2004,112,7.8,66.0,437808,54.58
320,Saw,"Horror, Mystery, Thriller",2004,103,7.6,46.0,424425,56.0
321,Platoon,"Drama, War",1986,120,8.1,92.0,415740,
322,Captain America: Civil War,"Action, Adventure, Sci-Fi",2016,147,7.8,75.0,788342,408.08
323,Apollo 13,"Adventure, Drama, History",1995,140,7.7,77.0,297152,173.84
324,Finding Nemo,"Animation, Adventure, Comedy",2003,100,8.2,90.0,1043441,
325,Hot Fuzz,"Action, Comedy, Mystery",2007,121,7.8,81.0,507599,23.64
326,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",2014,119,7.7,87.0,631361,42.34
327,A Few Good Men,"Drama, Thriller",1992,138,7.7,62.0,266345,141.34
328,Misery,"Drama, Thriller",1990,107,7.8,75.0,214498,61.28
329,Mary Poppins,"Comedy, Family, Fantasy",1964,139,7.8,88.0,174280,102.27
330,Wonder,"Drama, Family",2017,113,7.9,66.0,165798,132.42
331,The Bourne Identity,"Action, Mystery, Thriller",2002,119,7.9,68.0,548821,121.66
332,A Man Called Ove,"Comedy, Drama, Romance",2015,116,7.7,70.0,56660,3.36
